Title,Body
"Why do I get ""'property cannot be assigned"" when sending an SMTP email?","<p>I can't understand why this code is not working. I get an error saying property can not be assigned</p>
<pre><code>MailMessage mail = new MailMessage();
SmtpClient client = new SmtpClient();
client.Port = 25;
client.DeliveryMethod = SmtpDeliveryMethod.Network;
client.UseDefaultCredentials = false;
client.Host = &quot;smtp.gmail.com&quot;;
mail.To = &quot;user@hotmail.com&quot;; // &lt;-- this one
mail.From = &quot;you@yourcompany.example&quot;;
mail.Subject = &quot;this is a test email.&quot;;
mail.Body = &quot;this is my test email body&quot;;
client.Send(mail);
</code></pre>
"
"How can I send an email through the UNIX mailx command?","<p>How can I send an email through the UNIX <code>mailx</code> command?</p>
"
"PHP mail function doesn't complete sending of e-mail","<pre><code>&lt;?php
    $name = $_POST['name'];
    $email = $_POST['email'];
    $message = $_POST['message'];
    $from = 'From: yoursite.com';
    $to = 'contact@yoursite.com';
    $subject = 'Customer Inquiry';
    $body = ""From: $name\n E-Mail: $email\n Message:\n $message"";

    if ($_POST['submit']) {
        if (mail ($to, $subject, $body, $from)) {
            echo '&lt;p&gt;Your message has been sent!&lt;/p&gt;';
        } else {
            echo '&lt;p&gt;Something went wrong, go back and try again!&lt;/p&gt;';
        }
    }
?&gt;
</code></pre>

<p>I've tried creating a simple mail form. The form itself is on my <code>index.html</code> page, but it submits to a separate ""thank you for your submission"" page, <code>thankyou.php</code>, where the above PHP code is embedded.
The code submits perfectly, but never sends an email. How can I fix this?</p>
"
"What is the difference between ports 465 and 587?","<p>These ports <em>465</em> and <em>587</em> are both used for sending mail (submitting mail) but what is the real difference between them? </p>
"
"""The remote certificate is invalid according to the validation procedure."" using Gmail SMTP server","<p>I'm getting this error:</p>

<blockquote>
  <p>The remote certificate is invalid according to the validation procedure.</p>
</blockquote>

<p>whenever I try to send e-mail using Gmail's SMTP server in my C# code.
Can someone point me to the right direction for a solution to this problem?</p>

<p>The following is the stack trace...</p>

<pre><code>at System.Net.Security.SslState.StartSendAuthResetSignal(ProtocolToken message, AsyncProtocolRequest asyncRequest, Exception exception)
at System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.ForceAuthentication(Boolean receiveFirst, Byte[] buffer, AsyncProtocolRequest asyncRequest)
at System.Net.Security.SslState.ProcessAuthentication(LazyAsyncResult lazyResult)
at System.Net.TlsStream.CallProcessAuthentication(Object state)
at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state)
at System.Net.TlsStream.ProcessAuthentication(LazyAsyncResult result)
at System.Net.TlsStream.Write(Byte[] buffer, Int32 offset, Int32 size)
at System.Net.PooledStream.Write(Byte[] buffer, Int32 offset, Int32 size)
at System.Net.Mail.SmtpConnection.Flush()
at System.Net.Mail.SmtpConnection.GetConnection(String host, Int32 port)
at System.Net.Mail.SmtpTransport.GetConnection(String host, Int32 port)
at System.Net.Mail.SmtpClient.GetConnection()
at System.Net.Mail.SmtpClient.Send(MailMessage message)
at BulkEmail.frmemail.mailsending(String toaddress, String fromaddress, String fromname, String subject, String pwd, String attachements, String mailmessage, String htmlmessage, Int32 i, Int32 j, String replytoaddress)
</code></pre>
"
"How do I send a file as an email attachment using Linux command line?","<p>I've created a script that runs every night on my Linux server that uses <code>mysqldump</code> to back up each of my MySQL databases to .sql files and packages them together as a compressed .tar file. The next step I want to accomplish is to send that tar file through email to a remote email server for safekeeping. I've been able to send the raw script in the body an email by piping the backup text file to <code>mailx</code> like so:</p>
<pre><code>$ cat mysqldbbackup.sql | mailx backup@email.example
</code></pre>
<p><code>cat</code> echoes the backup file's text which is piped into the <code>mailx</code> program with the recipient's email address passed as an argument.</p>
<p>While this accomplishes what I need, I think it could be one step better, <strong>Is there any way, using shell scripts or otherwise, to send the compressed .tar file to an outgoing email message as an <em>attachment</em>?</strong>  This would beat having to deal with very long email messages which contain header data and often have word-wrapping issues etc.</p>
"
"How to send an email with Python?","<p>This code works and sends me an email just fine:  </p>

<pre><code>import smtplib
#SERVER = ""localhost""

FROM = 'monty@python.com'

TO = [""jon@mycompany.com""] # must be a list

SUBJECT = ""Hello!""

TEXT = ""This message was sent with Python's smtplib.""

# Prepare actual message

message = """"""\
From: %s
To: %s
Subject: %s

%s
"""""" % (FROM, "", "".join(TO), SUBJECT, TEXT)

# Send the mail

server = smtplib.SMTP('myserver')
server.sendmail(FROM, TO, message)
server.quit()
</code></pre>

<p>However if I try to wrap it in a function like this:</p>

<pre><code>def sendMail(FROM,TO,SUBJECT,TEXT,SERVER):
    import smtplib
    """"""this is some test documentation in the function""""""
    message = """"""\
        From: %s
        To: %s
        Subject: %s
        %s
        """""" % (FROM, "", "".join(TO), SUBJECT, TEXT)
    # Send the mail
    server = smtplib.SMTP(SERVER)
    server.sendmail(FROM, TO, message)
    server.quit()
</code></pre>

<p>and call it I get the following errors:  </p>

<pre><code> Traceback (most recent call last):
  File ""C:/Python31/mailtest1.py"", line 8, in &lt;module&gt;
    sendmail.sendMail(sender,recipients,subject,body,server)
  File ""C:/Python31\sendmail.py"", line 13, in sendMail
    server.sendmail(FROM, TO, message)
  File ""C:\Python31\lib\smtplib.py"", line 720, in sendmail
    self.rset()
  File ""C:\Python31\lib\smtplib.py"", line 444, in rset
    return self.docmd(""rset"")
  File ""C:\Python31\lib\smtplib.py"", line 368, in docmd
    return self.getreply()
  File ""C:\Python31\lib\smtplib.py"", line 345, in getreply
    raise SMTPServerDisconnected(""Connection unexpectedly closed"")
smtplib.SMTPServerDisconnected: Connection unexpectedly closed
</code></pre>

<p>Can anyone help me understand why?  </p>
"
"mailto link with HTML body","<p>I have a couple of <code>mailto</code> links in a HTML document.</p>

<pre><code>&lt;a href=""mailto:etc...""&gt;
</code></pre>

<p>Can I insert HTML formatted body in the <code>mailto:</code> part of the <code>href</code>?</p>

<pre><code>&lt;a href=""mailto:me@me.com?subject=Me&amp;body=&lt;b&gt;ME&lt;/b&gt;""&gt;Mail me&lt;/a&gt;
</code></pre>

<p>Note that (2016) in iOS, it is perfectly fine to add <code>&lt;i&gt;</code> and <code>&lt;b&gt;</code> tags for simple italic, bold formatting.</p>
"
"HTML5 Email Validation","<p>It is said ""With HTML5, we need no more js or a server side code to check if the user's input is a valid email or url address""</p>

<p>How can I validate email after a user enter? and without JS how to display a message if the user enter a wrong form of his/her email address.</p>

<pre><code>&lt;input type=""email"" pattern=""[^ @]*@[^ @]*"" placeholder=""Enter your email""&gt;
&lt;input type=""submit"" value=""Submit""&gt;
</code></pre>
"
"embedding image in html email","<p>I'm trying to send a multipart/related html email with embedded gif images.  This email is generated using Oracle PL/SQL.  My attempts have failed, with the image showing up as a red X (in Outlook 2007 and yahoo mail)</p>

<p>I've been sending html emails for some time, but my requirements are now to use several gif images in the email.  I can store these on one of our web servers and just link to them, but many users email clients will not show them automatically and will need to either change settings or manually download them for each email.</p>

<p>So, my thoughts are to embed the image.  My questions are:</p>

<ol>
<li>What am I doing wrong here?</li>
<li>Is the embedding approach the correct one?</li>
<li>Any other options if I need to use more and more images?  Attachments won't work, as the images are typically logos and icons that won't make sense out of the context of the message.  Also, some elements of the email are links into an online system, so generating a static PDF and attaching won't work (to my knowledge anyway).</li>
</ol>

<p>snippet:</p>

<pre><code>MIME-Version: 1.0
To: me@gmail.com
BCC: me@yahoo.com
From: email@yahoo.com
Subject: Test
Reply-To: email@yahoo.com
Content-Type: multipart/related; boundary=""a1b2c3d4e3f2g1""

--a1b2c3d4e3f2g1

content-type: text/html;

    &lt;html&gt;
    &lt;head&gt;&lt;title&gt;My title&lt;/title&gt;&lt;/head&gt;
    &lt;body&gt;
    &lt;div style=""font-size:11pt;font-family:Calibri;""&gt;
    &lt;p&gt;&lt;IMG SRC=""cid:my_logo"" alt=""Logo""&gt;&lt;/p&gt;

... more html here ...

&lt;/div&gt;&lt;/body&gt;&lt;/html&gt; 

--a1b2c3d4e3f2g1

Content-Type: image/gif;
Content-ID:&lt;my_logo&gt;
Content-Transfer-Encoding: base64
Content-Disposition: inline

[base64 image data here]

--a1b2c3d4e3f2g1--
</code></pre>

<p>Many thanks.</p>

<p>BTW: Yes, I have verified that the base64 data is correct, as I can embed the image in the html itself (using same algo use for creating header data) and see image in Firefox/IE.</p>

<p>I should also note that this is NOT for spam, the emails are sent to specific clients who are expecting it daily.  The content is data-driven, and not adverts.</p>
"
"How to send email in ASP.NET C#","<p>I'm very new to the <a href=""http://en.wikipedia.org/wiki/ASP.NET"" rel=""noreferrer"">ASP.NET</a> C# area. I'm planning to send a mail through ASP.NET C# and this is the <a href=""http://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol"" rel=""noreferrer"">SMTP</a> address from my <a href=""http://en.wikipedia.org/wiki/Internet_service_provider"" rel=""noreferrer"">ISP</a>: </p>

<pre><code>smtp-proxy.tm.net.my
</code></pre>

<p>Below is what I tried to do, but failed.</p>

<pre><code>&lt;%@ Page Language=""C#"" AutoEventWireup=""true"" CodeFile=""Default.aspx.cs"" Inherits=""SendMail"" %&gt;
&lt;html&gt;
&lt;head id=""Head1"" runat=""server""&gt;&lt;title&gt;Email Test Page&lt;/title&gt;&lt;/head&gt;
&lt;body&gt;
    &lt;form id=""form1"" runat=""server""&gt;
        Message to: &lt;asp:TextBox ID=""txtTo"" runat=""server"" /&gt;&lt;br&gt;
        Message from: &lt;asp:TextBox ID=""txtFrom"" runat=""server"" /&gt;&lt;br&gt;
        Subject: &lt;asp:TextBox ID=""txtSubject"" runat=""server"" /&gt;&lt;br&gt;
        Message Body:&lt;br&gt;
        &lt;asp:TextBox ID=""txtBody"" runat=""server"" Height=""171px"" TextMode=""MultiLine""  Width=""270px"" /&gt;&lt;br&gt;
        &lt;asp:Button ID=""Btn_SendMail"" runat=""server"" onclick=""Btn_SendMail_Click"" Text=""Send Email"" /&gt;&lt;br&gt;
        &lt;asp:Label ID=""Label1"" runat=""server"" Text=""Label""&gt;&lt;/asp:Label&gt;
    &lt;/form&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p>And below is my <a href=""http://en.wikipedia.org/wiki/ASP.NET#Code-behind_solutions"" rel=""noreferrer"">code-behind</a>:</p>

<pre><code>using System;
using System.Web.UI.WebControls;
using System.Net.Mail;
public partial class SendMail : System.Web.UI.Page
{
    protected void Btn_SendMail_Click(object sender, EventArgs e)
    {
        MailMessage mailObj = new MailMessage(
            txtFrom.Text, txtTo.Text, txtSubject.Text, txtBody.Text);
        SmtpClient SMTPServer = new SmtpClient(""127.0.0.1"");
        try
        {
            SMTPServer.Send(mailObj);
        }
        catch (Exception ex)
        {
            Label1.Text = ex.ToString();
        }
    }
}
</code></pre>

<p>PS: I'm sorry that I couldn't understand the receiver/sender SMTP concept, and so I am trying to understand the whole concept from here.</p>
"
"C# code to validate email address","<p>What is the most elegant code to validate that a string is a valid email address?</p>
"
"How to send email attachments?","<p>I am having problems understanding how to email an attachment using Python. I have successfully emailed simple messages with the <code>smtplib</code>. Could someone please explain how to send an attachment in an email. I know there are other posts online but as a Python beginner I find them hard to understand. </p>
"
"Proxy Error 502 : The proxy server received an invalid response from an upstream server","<p>We are building a mass mailing sending application in Java. Mail is being send by third party SMTP. After sending 400-500 mails tomcat6 service get stopped. Below is the error.</p>

<blockquote>
  <p>Proxy Error
       The proxy server received an invalid response from an upstream server. The proxy server could not handle the request GET
  /lin/Campaignn.jsp.
        Reason: Error reading from remote server</p>
</blockquote>

<p>Additionally, a 502 Bad Gateway error was encountered while trying to use an ErrorDocument to handle the request.</p>

<p>Apache Server at msizzler.com Port 80</p>

<p>But when we are sending from localhost I did not received any error. It send all the mails.
Please help me to sort it out this problem.</p>
"
"Sending email in .NET through Gmail","<p>Instead of relying on my host to send an email, I was thinking of sending the email messages using my <strong>Gmail</strong> account. The emails are personalized emails to the bands I play on my show. </p>

<p>Is it possible to do it?</p>
"
"send mail from linux terminal in one line","<p>I know there is the command <code>mail</code> in linux to send emails via command line. How can I send an simple email with one line from the terminal though? </p>

<p>For example:</p>

<pre><code>mail user@gmail.com [subject] [body]
</code></pre>

<p>And have the email sent without any confirmation or prompts to the user?</p>

<p>The reason is, I want to send a brief message via email to myself when a specific event happens in a <code>java</code> program. The idea is that I will use <code>Runtime.getRuntime()</code>… etc. to send the <code>mail command</code> from my <code>java</code> program. </p>

<p>I used <code>cron</code> to do something similar in the past, but the current implementation doesn't use <code>cron</code>, so I need to try this out instead.</p>
"
"Send HTML emails with Python","<p>How to send HTML content in email using Python? I can send simple texts.</p>
"
"Sending a mail from a linux shell script","<p>I want to send an email from a Linux Shell script. What is the standard command to do this and do I need to set up any special server names?</p>
"
"What is the best Java email address validation method?","<p>What are the good email address validation libraries for Java?  Are there any alternatives to <a href=""http://commons.apache.org/proper/commons-validator/apidocs/org/apache/commons/validator/routines/EmailValidator.html"" rel=""nofollow noreferrer"">commons validator</a>?</p>
"
"Send Email Intent","<pre><code>Intent intent = new Intent(Intent.ACTION_SEND);
intent.setType(&quot;text/html&quot;);
intent.putExtra(Intent.EXTRA_EMAIL, &quot;emailaddress@emailaddress.com&quot;);
intent.putExtra(Intent.EXTRA_SUBJECT, &quot;Subject&quot;);
intent.putExtra(Intent.EXTRA_TEXT, &quot;I'm email body.&quot;);
startActivity(Intent.createChooser(intent, &quot;Send Email&quot;));
</code></pre>
<p>The above code opens a dialog showing the following apps:- Bluetooth, Google Docs, Yahoo Mail, Gmail, Orkut, Skype, etc.</p>
<p>Actually, I want to filter these list options. I want to show only email-related apps e.g. Gmail, and Yahoo Mail. How to do it?</p>
<p>I've seen such an example on the 'Android Market application.</p>
<ol>
<li>Open the Android Market app</li>
<li>Open any application where the developer has specified his/her email address. (If you can't find such an app just open my app:- market://details?id=com.becomputer06.vehicle.diary.free, OR search by 'Vehicle Diary')</li>
<li>Scroll down to 'DEVELOPER'</li>
<li>Click on 'Send Email'</li>
</ol>
<p>The dialog shows only email Apps e.g. Gmail, Yahoo Mail, etc. It does not show Bluetooth, Orkut, etc. What code produces such dialog?</p>
"
"How to send an email with Gmail as provider using Python?","<p>I am trying to send email (Gmail) using python, but I am getting following error.</p>
<pre><code>Traceback (most recent call last):  
File &quot;emailSend.py&quot;, line 14, in &lt;module&gt;  
server.login(username,password)  
File &quot;/usr/lib/python2.5/smtplib.py&quot;, line 554, in login  
raise SMTPException(&quot;SMTP AUTH extension not supported by server.&quot;)  
smtplib.SMTPException: SMTP AUTH extension not supported by server.
</code></pre>
<p>The Python script is the following.</p>
<pre><code>import smtplib

fromaddr = 'user_me@gmail.com'
toaddrs  = 'user_you@gmail.com'
msg = 'Why,Oh why!'
username = 'user_me@gmail.com'
password = 'pwd'
server = smtplib.SMTP('smtp.gmail.com:587')
server.starttls()
server.login(username,password)
server.sendmail(fromaddr, toaddrs, msg)
server.quit()
</code></pre>
"
"What is the maximum length of a valid email address?","<p>What is the maximum length of a valid email address? Is it defined by any standard?</p>
"
"Sending email through Gmail SMTP server with C#","<p>For some reason neither the accepted answer nor any others work for me for ""<a href=""https://stackoverflow.com/questions/32260/sending-email-in-c-net-through-gmail"">Sending email in .NET through Gmail</a>"". Why would they not work?</p>

<p>UPDATE: I have tried all the answers (accepted and otherwise) in the other question, but none of them work.</p>

<p>I would just like to know if it works for anyone else, otherwise Google may have changed something (which has happened before).</p>

<p>When I try the piece of code that uses <code>SmtpDeliveryMethod.Network</code>, I quickly receive an SmtpException on Send(message). The message is </p>

<blockquote>
  <p>The SMTP server requires a secure connection or the client was not authenticated. </p>
</blockquote>

<p>The server response was: </p>

<blockquote>
  <p>5.5.1 Authentication Required. Learn more at"" &lt;-- seriously, it ends there.</p>
</blockquote>

<p><strong>UPDATE:</strong></p>

<p>This is a question that I asked a long time ago, and the accepted answer is code that I've used many, many times on different projects.</p>

<p>I've taken some of the ideas in this post and other EmailSender projects to create an <a href=""http://emailsender.codeplex.com/"" rel=""noreferrer"">EmailSender project at Codeplex</a>. It's designed for testability and supports my favourite SMTP services such as GoDaddy and Gmail. </p>
"
"How to send email to multiple recipients using python smtplib?","<p>After much searching I couldn't find out how to use smtplib.sendmail to send to multiple recipients.  The problem was every time the mail would be sent the mail headers would appear to contain multiple addresses, but in fact only the first recipient would receive the email.</p>

<p>The problem seems to be that the <a href=""http://docs.python.org/library/email.message.html#email.message.Message"" rel=""noreferrer""><code>email.Message</code></a> module expects something different than the <a href=""http://docs.python.org/library/smtplib.html#smtplib.SMTP.sendmail"" rel=""noreferrer""><code>smtplib.sendmail()</code></a> function.</p>

<p>In short, to send to multiple recipients you should set the header to be a string of comma delimited email addresses.  The <code>sendmail()</code> parameter <code>to_addrs</code> however should be a list of email addresses.</p>

<pre><code>from email.MIMEMultipart import MIMEMultipart
from email.MIMEText import MIMEText
import smtplib

msg = MIMEMultipart()
msg[""Subject""] = ""Example""
msg[""From""] = ""me@example.com""
msg[""To""] = ""malcom@example.com,reynolds@example.com,firefly@example.com""
msg[""Cc""] = ""serenity@example.com,inara@example.com""
body = MIMEText(""example email body"")
msg.attach(body)
smtp = smtplib.SMTP(""mailhost.example.com"", 25)
smtp.sendmail(msg[""From""], msg[""To""].split("","") + msg[""Cc""].split("",""), msg.as_string())
smtp.quit()
</code></pre>
"
"Failed to connect to mailserver at ""localhost"" port 25","<p>I keep getting this error when I try to send an e-mail in PHP:</p>

<pre><code>Warning: mail() [function.mail]: Failed to connect to mailserver at ""localhost"" port 25, verify your ""SMTP"" and ""smtp_port"" setting in php.ini or use ini_set() in C:\wamp\www\dressoholic\register.php on line 50
</code></pre>

<p>my php.ini looks like this:</p>

<pre><code>[mail function]
; For Win32 only.
; http://php.net/smtp
SMTP = localhost
; http://php.net/smtp-port
smtp_port = 25

; For Win32 only.
; http://php.net/sendmail-from
sendmail_from = you@yoursite.com
</code></pre>

<p>I'm using my laptop as a server.. What am I doing wrong? Thanks.</p>
"
